央视频道[2],#genre#
CCTV11戏曲,http://119.233.255.62:1234/667987558
CCTV12社会与法,http://119.233.255.62:1234/673168185
CCTV13新闻,http://119.233.255.62:1234/608807423
CCTV14少儿,http://119.233.255.62:1234/624878440
CCTV15音乐,http://119.233.255.62:1234/673168223
CCTV17农业农村,http://119.233.255.62:1234/673168256
CCTV4欧洲,http://119.233.255.62:1234/608807419
CCTV4美洲,http://119.233.255.62:1234/608807416
CGTN外语纪录,http://119.233.255.62:1234/609006487
CGTN阿拉伯语,http://119.233.255.62:1234/609154345
CGTN西班牙语,http://119.233.255.62:1234/609006450
CGTN法语,http://119.233.255.62:1234/609006476
CGTN俄语,http://119.233.255.62:1234/609006446
老故事,http://119.233.255.62:1234/884121956
发现之旅,http://119.233.255.62:1234/624878970
中学生,http://119.233.255.62:1234/708869532
CGTN,http://119.233.255.62:1234/609017205



卫视频道[4],#genre#

东方卫视,http://119.233.255.62:1234/651632648
江苏卫视,http://119.233.255.62:1234/623899368
广东卫视,http://119.233.255.62:1234/608831231
北京卫视,http://119.233.255.62:1234/630287636
辽宁卫视,http://119.233.255.62:1234/630291707
河北卫视,http://119.233.255.62:1234/962042070
江西卫视,http://119.233.255.62:1234/783847495
河南卫视,http://119.233.255.62:1234/790187291
陕西卫视,http://119.233.255.62:1234/738910838
大湾区卫视,http://119.233.255.62:1234/608917627
湖北卫视,http://119.233.255.62:1234/947472496
吉林卫视,http://119.233.255.62:1234/947472500
青海卫视,http://119.233.255.62:1234/947472506
东南卫视,http://119.233.255.62:1234/849116810
海南卫视,http://119.233.255.62:1234/947472502
海峡卫视,http://119.233.255.62:1234/849119120
中国农林卫视,http://119.233.255.62:1234/956904896
兵团卫视,http://119.233.255.62:1234/956923145
宁夏卫视,http://119.233.255.62:1234/738910535
重庆卫视,http://119.233.255.62:1234/738910914
三沙卫视,http://119.233.255.62:1234/961023778
黑龙江卫视,http://119.233.255.62:1234/738906901



央视频道[5],#genre#

CCTV-01咪咕,http://175.17.83.114:1234/608807420
CCTV-02咪咕,http://175.17.83.114:1234/631780532
CCTV-03咪咕,http://175.17.83.114:1234/624878271
CCTV-04咪咕,http://175.17.83.114:1234/631780421
CCTV-05咪咕,http://175.17.83.114:1234/641886683
CCTV-5+咪咕,http://175.17.83.114:1234/641886773
CCTV-06咪咕,http://175.17.83.114:1234/624878396
CCTV-07咪咕,http://175.17.83.114:1234/673168121
CCTV-08咪咕,http://175.17.83.114:1234/624878356
CCTV-09咪咕,http://175.17.83.114:1234/673168140
CCTV-10咪咕,http://175.17.83.114:1234/624878405
CCTV-11咪咕,http://175.17.83.114:1234/667987558
CCTV-12咪咕,http://175.17.83.114:1234/673168185
CCTV-13咪咕,http://175.17.83.114:1234/608807423
CCTV-14咪咕,http://175.17.83.114:1234/624878440
CCTV-15咪咕,http://175.17.83.114:1234/673168223
CCTV-16咪咕,http://58.255.201.70:10443/tsfile/live/1001_1.m3u8
CCTV-17咪咕,http://175.17.83.114:1234/673168256
cct4欧洲咪咕,http://175.17.83.114:1234/608807419
cct4美洲咪咕,http://175.17.83.114:1234/608807416
CGTN-西咪咕,http://175.17.83.114:1234/609006450
CGTN-阿咪咕,http://175.17.83.114:1234/609154345
CGTN-法咪咕,http://175.17.83.114:1234/609006476



卫视频道[5],#genre#

北京卫视咪咕,http://175.17.83.114:1234/630287636
东方卫视咪咕,http://175.17.83.114:1234/651632648
浙江卫视咪咕,http://rihou.cc:555/tv/[mg]浙江卫视
江苏卫视咪咕,http://175.17.83.114:1234/623899368
湖南卫视咪咕,http://rihou.cc:555/tv/[mg]湖南卫视
广东卫视咪咕,http://175.17.83.114:1234/608831231
深圳卫视咪咕,http://rihou.cc:555/tv/[mg]深圳卫视
山东卫视咪咕,http://rihou.cc:555/tv/[mg]山东卫视
河南卫视咪咕,http://175.17.83.114:1234/790187291
江西卫视咪咕,http://175.17.83.114:1234/783847495
湖北卫视咪咕,http://175.17.83.114:1234/947472496
海南卫视咪咕,http://175.17.83.114:1234/947472502
陕西卫视咪咕,http://175.17.83.114:1234/738910838
兵团卫视咪咕,http://175.17.83.114:1234/956923145
黑龙江视咪咕,http://175.17.83.114:1234/738906901



央视频道[6],#genre#

CCTV-1综合,http://204.12.221.218:8181/3m1080p/cctv1.m3u8
CCTV-2财经,http://204.12.221.218:8181/3m1080p/cctv2.m3u8
CCTV-3综艺,http://204.12.221.218:8181/3m1080p/cctv3.m3u8
CCTV-4中文国际,http://204.12.221.218:8181/3m1080p/cctv4.m3u8
CCTV-5体育,http://204.12.221.218:8181/3m1080p/cctv5.m3u8
CCTV-6电影,http://204.12.221.218:8181/3m1080p/cctv6.m3u8
CCTV-7国防军事,http://204.12.221.218:8181/3m1080p/cctv7.m3u8
CCTV-8电视剧,http://204.12.221.218:8181/3m1080p/cctv8.m3u8
CCTV-9纪录,http://204.12.221.218:8181/3m1080p/cctv9.m3u8
CCTV-10科教,http://204.12.221.218:8181/3m1080p/cctv10.m3u8
CCTV-11戏曲,http://204.12.221.218:8181/3m1080p/cctv11.m3u8
CCTV-12社会与法,http://204.12.221.218:8181/3m1080p/cctv12.m3u8
CCTV-13新闻,http://204.12.221.218:8181/3m1080p/cctv13.m3u8
CCTV-14少儿,http://204.12.221.218:8181/3m1080p/cctv14.m3u8
CCTV-15音乐,http://204.12.221.218:8181/3m1080p/cctv15.m3u8
CCTV-16奥林匹克,http://204.12.221.218:8181/3m1080p/cctv16.m3u8
CCTV-17农业农村,http://204.12.221.218:8181/3m1080p/cctv17.m3u8
CCTV-5+HD,http://204.12.221.218:8181/3m1080p/cctv5p.m3u8
CCTV-女性时尚,http://204.12.221.218:8181/3m1080p/nxss.m3u8
中央新影-发现之旅,http://204.12.221.218:8181/3m1080p/fxzl.m3u8
中央新影-老故事,http://204.12.221.218:8181/3m1080p/lgs.m3u8
中国教育1,http://204.12.221.218:8181/3m1080p/cetv1.m3u8
中国教育2,http://204.12.221.218:8181/3m1080p/cetv2.m3u8
中国教育3,http://204.12.221.218:8181/3m1080p/cetv3.m3u8
中国教育4,http://204.12.221.218:8181/3m1080p/cetv4.m3u8
早期教育,http://204.12.221.218:8181/3m1080p/zqjy.m3u8



卫视频道[6],#genre#

北京卡酷少儿,http://204.12.221.218:8181/3m1080p/btvkk.m3u8
嘉佳卡通,http://204.12.221.218:8181/3m1080p/gdjjkt.m3u8
金鹰卡通,http://204.12.221.218:8181/3m1080p/hnjykt.m3u8
优漫卡通,http://204.12.221.218:8181/3m1080p/ymkt.m3u8
天元围棋,http://204.12.221.218:8181/3m1080p/gztywq.m3u8
湖南卫视,http://204.12.221.218:8181/3m1080p/hnws.m3u8
